ISBN-16,Title,Author,Co-authors,Year,Fiction Flag,Genre,Subgenre,Paperback Flag,Price
978-555-0-32177-000-9,The Big Goodbye,Tracy Tormé,,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-001-6,The Hound of the Baskervilles,Sir Arthur Conan Doyle,,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-002-3,Chess Middlegame Tactics,Akeelah Anderson,,2019,Nonfiction,Games,Chess,Paperback,$18.99
978-555-0-32177-003-0,Pies and Tarts,Wolfgang Berg,,2019,Nonfiction,Cookbook,Desserts,Paperback,$18.99
978-555-0-32177-004-7,Java Collections In Depth,Alonso del Arte,,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-005-4,"VAERS: Fact & Fiction, Explained","Dr. Romancepreet Kaur, M.D.","Dr. Elizabeth Williams, DDS",2021,Nonfiction,Health,,Paperback,$18.99
978-555-0-32177-006-1,The Path or the Journey,Clayten Bruce,,2019,Fiction,Thriller,Mystical,Paperback,$18.99
978-555-0-32177-007-8,The Familiar,Anna Sersch,,2019,Fiction,Fantasy,,Paperback,$18.99
978-555-0-32177-008-5,Peering Into the Mysteries of Salesforce,Nathan Shortneck,,2019,Nonfiction,Computer Programming,Salesforce,Paperback,$38.99
978-555-0-32177-009-2,I Have Touched the Sky,Janet Hrabak,,2019,Fiction,Romance,,Paperback,$18.99
978-555-0-32177-010-8,The Return,Michael Ogbono,,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-011-5,Star Trek: Drag Coefficients,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-012-2,Star Trek: The Lieutenant Commanders of Command,Ying Zhang,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-013-9,Only Waldos,Seth Meyers,,2019,Fiction,Comedy,,Paperback,$18.99
978-555-0-32177-014-6,Star Trek: The Commanders of Command,Ying Zhang,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-015-3,From Torts to Tarts,Stephen Breyer,,2019,Nonfiction,Cookbook,Desserts,Paperback,$18.99
978-555-0-32177-016-0,Get Satbir on the Horn,Harbir Singh,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-017-7,Sonnets,William Shakespeare,,2019,Fiction,Poetry,,Paperback,$8.99
978-555-0-32177-018-4,Quick Notes: The Shakespeare Sonnets,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-019-1,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-020-7,Les Girls,Jenny Schechter,,2019,Fiction,Drama,,Paperback,$18.99
978-555-0-32177-021-4,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-022-1,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-023-8,Star Trek: Mission Detour,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-024-5,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-025-2,TestNG: The Missing Javadoc,Alonso del Arte,,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-026-9,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-027-6,Quick Notes: The Hound of the Baskervilles,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-028-3,Knowing Yourself,"Dr. Benjamin Bloom, Psy.D.",,2019,Nonfiction,Self help,,Paperback,$18.99
978-555-0-32177-029-0,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-030-6,At the Post Office,Adaego Okafor,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-031-3,Do Or Die in Overtime,Alice Pieszecki,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-032-0,Slopes of California,James Woolbinder,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-033-7,The Weird Portrait,Julietta Kolmogorovna,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-034-4,Early Birds Club,Thomas Thomason,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-035-1,Glide Path,Richard Richardson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
